"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"ETH","Ethiopia",16.25698471,16.25698471,16.25698471,16.25698471,16.25698471,16.25698471,17.07104301,12.69978809,14.19541454,29.63545799,22.23940277,32.3561554,33.34824371,46.76123047,33.59083939,34.44238663,37.52743149,27.94426346,23.27151108,23.43493462,18.26107597,20.23424911,35.35738373,36.14728546,34.14990616,34.44835281,34.44835281
"FJI","Fiji",7.85384846,7.85384846,7.85384846,7.85384846,7.85384846,7.85384846,9.57387257,8.80303478,7.06262207,13.62631989,8.71356678,4.67345905,3.52948213,6.41314888,6.83090591,6.31026602,4.88196516,6.72816944,4.98710251,4.07059574,2.54843497,3.08823633,2.32538366,2.10058045,7.21147633,3.17394185,3.17394185
"FIN","Finland",0.00604633,0.00604633,0.00604633,0.00604633,0.00604633,0.00604633,0.00953495,0.00950312,0.00385928,0.00177047,0.00144986,0.00142368,0.00122285,2.468e-05,0.00462677,0.00697872,0.00609815,0.0029315,0.00123792,0.00210506,0.00118064,0.00145534,0.00282098,0.00398112,0.0063641,0.00611898,0.00611898
"FRA","France",,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAB","Gabon",2.12770414,2.12770414,2.12770414,2.12770414,2.12770414,2.12770414,1.32971859,1.62835813,1.64630151,1.58164966,3.95188093,2.32452798,2.78139234,2.07402563,1.51524651,1.1402396,1.08781314,0.48202243,0.36939061,0.99941117,0.82101429,0.6877262,0.6082381,1.22247517,0.56816685,10.77944469,10.77944469
"GMB","Gambia",74.54329681,74.54329681,74.54329681,74.54329681,74.54329681,74.54329681,72.88589478,74.81971741,73.02440643,70.81221008,68.56138611,65.91294098,65.68671417,62.65572739,57.25598145,54.09770966,51.75224304,47.22505951,46.01451492,27.99434471,34.95146942,26.72500992,36.683815,38.48213959,27.10829735,10.84510899,10.84510899
"GEO","Georgia",7.15883684,7.15883684,7.15883684,7.15883684,7.15883684,7.15883684,6.91197395,7.84641075,5.79915142,4.89596081,4.24870443,5.73012924,6.6974597,10.08454132,5.42679501,3.63636374,3.37904024,3.42309451,3.01685882,2.47967482,2.54069066,2.25773811,2.38087583,0.53532571,0.52821141,5.64257574,5.64257574
"DEU","Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,
"GHA","Ghana",11.9952116,11.9952116,11.9952116,11.9952116,11.9952116,11.9952116,12.89880753,14.51563263,12.53483105,18.26754379,15.15801144,14.81380653,12.0655508,11.17617607,12.00945663,9.56419945,9.30906296,8.43076324,16.56103325,15.69008923,24.93173218,12.79747391,13.51196861,11.01575947,11.28267193,9.18877316,9.18877316
"GRC","Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00954611,0.01943432,0.18618846,0.14561565,0.82154316,1.30528772,1.61168659,0.25555748,0.17876692,0.13328013,0.13182873,0.15133707,0.15133707
"GRD","Grenada",1.51755834,1.51755834,1.51755834,1.51755834,1.51755834,1.51755834,1.44483924,1.2671963,1.35368943,0.8614099,0.70477843,3.23484063,2.11907148,4.20072842,1.3832854,1.21578825,0.00870002,0.11739743,0.2352608,0.35380879,0.31798393,0.28438109,0.20165643,0.26375881,0.09225875,0.67889535,0.67889535
"GTM","Guatemala",2.69831038,2.69831038,2.69831038,2.69831038,2.69831038,2.69831038,1.9061532,2.15235543,2.58997178,3.07541466,2.33605027,3.28337121,2.98863673,2.21389437,3.71946573,2.66473556,3.25614429,4.01598883,2.62795353,2.78953719,1.6775192,1.6469028,1.08229291,1.68230891,0.86716801,0.99105793,0.99105793
"GIN","Guinea",27.87071609,27.87071609,27.87071609,27.87071609,27.87071609,27.87071609,28.59572601,28.2800827,28.24958038,25.0572319,22.95732117,21.57073593,20.50650024,19.98521614,19.45820045,19.42275047,25.90081596,21.98635292,22.58197975,18.49852753,23.46262932,27.23295784,9.49532795,10.79292297,10.7964468,22.53902435,22.53902435
"GNB","Guinea-Bissau",11.17457676,11.17457676,11.17457676,11.17457676,11.17457676,11.17457676,13.29953384,27.55870247,23.50592041,22.51991844,25.86558533,25.8746376,29.04612732,28.09097099,22.29856873,41.64113235,52.93362045,28.2116375,24.06480789,36.07600021,23.46339226,26.69475555,21.16594315,25.7341671,25.30992317,24.0324192,24.0324192
"GUY","Guyana",0.14243084,0.14243084,0.14243084,0.14243084,0.14243084,0.14243084,0.637999,1.84835112,5.29683018,9.01349545,14.89758587,19.61869621,24.81287384,21.26828003,21.07645226,19.10718727,13.5727129,9.25717926,9.08328438,5.818326,4.76426315,4.45284081,4.01209021,3.16092062,2.69210863,1.52484226,1.52484226
"HTI","Haiti",31.48827362,31.48827362,31.48827362,31.48827362,31.48827362,31.48827362,33.00967407,34.86845779,34.37762833,33.40350342,33.01479721,45.22234726,34.89322662,35.82326126,35.12090683,46.15073395,64.68388367,60.74028778,48.3934021,54.94194794,50.87899399,49.43203354,33.95123751,40.86358611,42.25705542,30.56117912,30.56117912
"HND","Honduras",2.7811141,2.7811141,2.7811141,2.7811141,2.7811141,2.7811141,1.85194302,4.27599144,9.52238274,9.75456238,8.48487282,5.17399549,5.82112026,7.16688108,8.33611298,7.53666019,6.13482237,7.06629562,5.26468992,6.25401783,5.02577019,4.95717335,3.69296241,2.95789766,2.64020228,5.65969276,4.97716427
"HUN","Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND","India",2.68156767,2.68156767,2.68156767,2.68156767,2.68156767,2.68156767,2.32904196,2.45289254,1.51889133,2.23435068,1.53180611,1.43511713,1.51285565,1.8706342,1.01849651,0.97050869,0.86978596,0.9425528,0.27013245,0.74758422,0.71176356,0.64179951,0.58871472,0.46161893,0.87349886,0.98762763,0.98762763
"IDN","Indonesia",2.92194533,2.92194533,2.92194533,2.92194533,2.92194533,2.92194533,4.03430843,1.3698715,1.25123096,1.92621684,1.62566638,1.35958803,1.65610123,1.17098391,1.61047709,0.85548997,0.95352107,0.96095127,1.14404118,2.02952504,0.4901185,0.52739972,0.68619859,0.40497854,0.55616313,0.50318676,0.50318676
"IRN","Iran, Islamic Republic of",0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.03213045,0.02155046,0.02105307,0.0149463,0.00996638,0.00996638
"IRQ","Iraq",0,0,0,0,0,0,0,0,0,0,0,0,3.79344225,0,0,0,0.00860493,0.73819375,0.73205227,0.73442358,0.27033681,0.39029104,0.08311984,0.50444227,0.53258473,0.3694579,0.3694579
"IRL","Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,
